200, 0.0001
300, 0.0001
392, 0.0006
394, 0.0224
396, 0.0388
398, 0.0552
400, 0.0782
401, 0.1043
403, 0.1370
404, 0.1729
405, 0.2186
406, 0.2708
408, 0.3133
409, 0.3622
410, 0.4177
411, 0.4666
412, 0.5188
413, 0.5710
414, 0.6264
415, 0.6786
417, 0.7309
418, 0.7766
419, 0.8190
421, 0.8615
422, 0.8876
423, 0.9137
425, 0.9367
427, 0.9596
428, 0.9694
429, 0.9858
431, 0.9925
432, 0.9958
433, 0.9926
435, 0.9830
437, 0.9668
440, 0.9410
443, 0.9086
445, 0.8762
447, 0.8470
449, 0.8146
451, 0.7821
454, 0.7432
457, 0.7076
459, 0.6687
462, 0.6265
465, 0.5909
467, 0.5585
470, 0.5228
473, 0.4872
475, 0.4548
478, 0.4192
482, 0.3803
485, 0.3447
489, 0.3124
492, 0.2801
497, 0.2413
501, 0.2123
506, 0.1768
510, 0.1543
515, 0.1318
520, 0.1093
525, 0.0869
531, 0.0613
537, 0.0422
544, 0.0263
551, 0.0105
557, 0.0044
600, 0.001
700, 0.001
